time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-05-24,2668.76,2082.12,2095.62,4338258.8,10253386069.83,2647.68,direct,
2021-05-25,2748.58,2386.47,2647.68,3934760.23,10131990386.8,2705.23,direct,
2021-05-26,2908.05,2645.78,2705.23,3254457.63,9075321954.07,2884.77,direct,
2021-05-27,2887.63,2637.0,2884.77,2502074.13,6904281672.8,2741.43,direct,
2021-05-28,2760.71,2331.11,2741.43,3022298.55,7660642190.73,2412.19,direct,
2021-05-29,2571.27,2206.52,2412.19,3156018.01,7520893480.32,2277.53,direct,
2021-05-30,2473.0,2181.87,2277.53,2657254.0,6297082851.78,2385.88,direct,
2021-05-31,2716.96,2273.51,2385.88,2842033.38,7118373607.24,2706.4,direct,
2021-06-01,2739.48,2528.53,2706.4,2530212.03,6610436168.3,2634.13,direct,
2021-06-02,2801.04,2553.21,2634.13,2210909.89,5960335366.86,2705.82,direct,
2021-06-03,2890.24,2663.78,2705.82,2103399.11,5895069646.15,2856.18,direct,
2021-06-04,2859.47,2557.31,2856.18,2234830.66,5983770322.79,2687.85,direct,
2021-06-05,2816.03,2554.82,2687.85,2226662.85,5970133189.05,2628.71,direct,
2021-06-06,2743.56,2614.56,2628.71,1747846.01,4704720665.09,2711.51,direct,
2021-06-07,2844.94,2574.14,2711.51,2436058.61,6664268382.38,2592.8,direct,
2021-06-08,2619.48,2312.65,2592.8,3363112.37,8345805825.15,2507.34,direct,
2021-06-09,2624.03,2407.16,2507.34,2762326.57,6975095704.21,2609.46,direct,
2021-06-10,2622.24,2428.29,2609.46,2067399.62,5228690051.89,2470.46,direct,
2021-06-11,2496.44,2322.76,2470.46,1616017.59,3923512685.73,2353.77,direct,
2021-06-12,2448.52,2260.12,2353.77,1853800.8,4372224244.25,2369.46,direct,
2021-06-13,2547.7,2309.54,2369.46,1909291.09,4580560820.72,2508.71,direct,
2021-06-14,2604.77,2463.29,2508.71,1727556.94,4369825527.49,2581.04,direct,
2021-06-15,2639.34,2511.44,2581.04,1599588.74,4128368747.37,2543.91,direct,
2021-06-16,2554.67,2352.18,2543.91,1547935.47,3806008216.84,2368.16,direct,
2021-06-17,2459.31,2307.48,2368.16,1470656.2,3514455200.5,2372.35,direct,
2021-06-18,2376.93,2141.34,2372.35,1925486.04,4352983695.98,2232.07,direct,
